,size_x,size_y,boolean_x,float_x,integer_x,string_x,boolean_y,float_y,integer_y,string_y,outputscore
0,0.11,5,0,1,0,0,0,0,0,1,0.004384954459965229
1,10.0,3,0,0,1,0,0,0,0,1,0.0009808499598875642
2,0.3,4500,0,1,0,0,0,0,1,0,0.26709696650505066
3,2.0,310,1,0,0,0,0,1,0,0,0.0035605204757303
4,20.0,310,0,0,0,1,0,1,0,0,0.0090146129950881
5,50.0,3,0,0,0,1,0,0,0,1,0.0012470768997445703
6,2.0,3,1,0,0,0,0,0,1,0,0.0509035550057888
7,2.0,15,1,0,0,0,0,0,0,1,0.000380921148462221
8,10.0,15,0,0,1,0,0,0,0,1,0.000289729330688715
9,5.0,15,0,0,1,0,0,0,0,1,0.00032183853909373283
10,0.11,600,0,1,0,0,0,0,0,1,0.02070714719593525
11,70.0,60,0,0,0,1,0,0,0,1,0.013828372582793236
12,2.0,70,1,0,0,0,0,0,0,1,0.0018934608669951558
13,500000.0,100,0,0,1,0,0,0,1,0,0.00017035804921761155
14,30.0,5,0,0,0,1,0,0,1,0,8.102818537736312e-05
15,50.0,3,0,0,0,1,0,0,0,1,0.0013247373281046748
16,60.0,35,0,0,0,1,0,0,0,1,0.0035902136005461216
17,500000.0,5,0,0,1,0,0,0,1,0,0.00524186622351408
18,70.0,3,0,0,0,1,0,0,0,1,0.025386454537510872
19,70.0,5,0,0,0,1,0,0,0,1,0.93905109167099
20,5.0,3,0,0,1,0,0,0,0,1,0.00018279712821822613
21,2.0,4200000,1,0,0,0,0,0,1,0,0.00562182767316699
22,70.0,70,0,0,0,1,0,0,0,1,0.016734061762690544
23,20.0,4500,0,0,0,1,0,0,1,0,0.011413115076720715
24,2.0,7,1,0,0,0,0,0,0,1,5.098304245620966e-05
25,2.0,310,1,0,0,0,0,1,0,0,0.005455286242067814
26,60.0,2,0,0,0,1,1,0,0,0,0.0003836113028228283
27,2.0,4500,1,0,0,0,0,0,1,0,0.007731180638074875
28,2.0,30,1,0,0,0,0,0,0,1,0.05723395571112633
29,0.3,30,0,1,0,0,0,0,0,1,0.00016966019757092
30,60.0,4200000,0,0,0,1,0,0,1,0,0.005304641555994749
31,2.0,5,1,0,0,0,0,0,1,0,0.0006394415977410972
32,40.0,3,0,0,0,1,0,0,0,1,0.0002838825457729399
