,size_x,size_y,boolean_x,float_x,integer_x,string_x,boolean_y,float_y,integer_y,string_y,outputscore
0,10.0,15,0,0,1,0,0,0,0,1,0.05902906507253647
1,500000.0,15,0,0,1,0,0,0,0,1,0.0009568133973516524
2,30.0,2,0,0,0,1,1,0,0,0,0.0035380860790610313
3,30.0,600,0,0,0,1,0,0,0,1,0.010503876022994518
4,60.0,5,0,0,0,1,0,0,1,0,0.00014085797010920942
5,2.0,1,1,0,0,0,0,0,1,0,0.0006128617678768933
6,60.0,30,0,0,0,1,0,0,0,1,0.002357571618631482
7,2.0,15,1,0,0,0,0,0,0,1,0.00036757110501639545
8,30.0,2,0,0,0,1,1,0,0,0,0.004400073084980249
9,40.0,15,0,0,0,1,0,0,0,1,0.0026716182474046946
10,0.3,140,0,1,0,0,0,1,0,0,0.9815943241119385
11,5.0,2,0,0,1,0,1,0,0,0,0.008645886555314064
12,500000.0,20,0,0,1,0,0,0,0,1,0.0025277945678681135
13,50.0,35,0,0,0,1,0,0,0,1,0.00812746025621891
14,0.11,5,0,1,0,0,0,0,0,1,0.00011878376972163096
15,2.0,1,1,0,0,0,0,0,1,0,0.00045917544048279524
16,20.0,15,0,0,0,1,0,0,0,1,0.004639612510800362
17,30.0,20,0,0,0,1,0,0,0,1,0.001377783715724945
18,2.0,50,1,0,0,0,0,0,0,1,0.0018544649938121438
19,2.0,60,1,0,0,0,0,0,0,1,0.0005606607883237302
20,2.0,3,1,0,0,0,0,0,0,1,0.00030257710022851825
21,10.0,35,0,0,0,1,0,0,0,1,0.0011081568663939834
22,2.0,310,1,0,0,0,0,1,0,0,0.0037062030751258135
23,0.11,600,0,1,0,0,0,0,0,1,0.020236743614077568
24,2.0,4500,1,0,0,0,0,0,1,0,0.01315335649996996
25,300.0,4500,0,0,0,1,0,0,1,0,0.03534168750047684
26,2.0,310,1,0,0,0,0,1,0,0,0.014188764616847038
27,5.0,5,0,0,1,0,0,0,1,0,0.0034752569627016783
28,2.0,2,1,0,0,0,0,0,0,1,0.0071606081910431385
29,40.0,50,0,0,0,1,0,0,0,1,0.01507834903895855
30,2.0,2,1,0,0,0,1,0,0,0,0.01755676046013832
31,15.0,30,0,0,0,1,0,0,0,1,0.0621173158288002
32,50.0,2,0,0,0,1,1,0,0,0,0.005859860219061375
33,5.0,1,0,0,1,0,0,0,1,0,0.0029223673045635223
34,30.0,2,0,0,0,1,0,0,0,1,0.004775904584676027
35,5.0,15,0,0,1,0,0,0,0,1,0.00032183853909373283
