,size_x,size_y,boolean_x,float_x,integer_x,string_x,boolean_y,float_y,integer_y,string_y,outputscore
0,2.0,5,1,0,0,0,0,0,0,1,0.0012121929321438074
1,15.0,70,0,0,0,1,0,0,0,1,0.9204869270324707
2,300.0,35,0,0,0,1,0,0,0,1,0.00804902147501707
3,10.0,5,0,0,0,1,0,0,0,1,0.0029688002541661263
4,0.3,1,0,1,0,0,0,0,1,0,0.0011627055937424302
5,0.3,4500,0,1,0,0,0,0,1,0,0.2586049437522888
6,11.0,5,0,0,0,1,0,0,1,0,0.00041460711508989334
7,60.0,2,0,0,0,1,1,0,0,0,0.0031959463376551867
8,500000.0,15,0,0,1,0,0,0,0,1,0.3016396760940552
9,0.11,30,0,1,0,0,0,0,0,1,0.005327202379703522
10,2.0,5,1,0,0,0,0,0,1,0,0.0009250737493857741
11,0.11,5,0,1,0,0,0,0,1,0,0.003765556961297989
12,40.0,4500,0,0,0,1,0,0,1,0,0.004611081909388304
13,2.0,3,1,0,0,0,0,0,1,0,0.04957138001918793
14,2.0,15,1,0,0,0,0,0,0,1,0.00011002880637533963
15,2.0,15,1,0,0,0,0,0,0,1,0.0001696268591331318
16,2.0,4500,1,0,0,0,0,0,1,0,0.02279670536518097
17,70.0,140,0,0,0,1,0,1,0,0,0.015276816673576832
18,300.0,140,0,0,0,1,0,1,0,0,0.012493552640080452
19,50.0,5,0,0,0,1,0,0,0,1,0.5582590103149414
20,15.0,1,0,0,0,1,0,0,1,0,0.00688399001955986
21,60.0,3,0,0,0,1,0,0,1,0,0.0008947106543928385
22,2.0,15,1,0,0,0,0,0,0,1,0.00048825558042153716
23,20.0,2,0,0,0,1,1,0,0,0,0.036509763449430466
24,2.0,20,1,0,0,0,0,0,0,1,0.0002779018832370639
25,11.0,3,0,0,0,1,0,0,1,0,0.11878621578216553
26,0.3,15,0,1,0,0,0,0,0,1,0.007389794569462538
27,2.0,15,1,0,0,0,0,0,0,1,0.006661698687821627
28,11.0,5,0,0,0,1,0,0,0,1,0.0121401846408844
29,2.0,5,1,0,0,0,0,0,0,1,0.00042595723061822355
30,0.11,15,0,1,0,0,0,0,0,1,0.04407240077853203
31,11.0,35,0,0,0,1,0,0,0,1,0.07694297283887863
32,500000.0,3,0,0,1,0,0,0,1,0,0.02319292724132538
33,5.0,2,0,0,1,0,1,0,0,0,0.05031396076083183
34,2.0,35,1,0,0,0,0,0,0,1,0.014232034794986248
35,20.0,140,0,0,0,1,0,1,0,0,0.008691772818565369
36,70.0,2,0,0,0,1,1,0,0,0,0.044307880103588104
37,10.0,1,0,0,0,1,0,0,1,0,0.00040738569805398583
38,0.11,2,0,1,0,0,0,0,0,1,0.00040221409290097654
39,300.0,1,0,0,0,1,0,0,1,0,0.003432542085647583
40,10.0,3,0,0,1,0,0,0,1,0,0.9433859586715698
41,15.0,15,0,0,0,1,0,0,0,1,0.00857621245086193
42,0.11,5,0,1,0,0,0,0,1,0,0.004107250832021236
43,0.3,100,0,1,0,0,0,0,1,0,7.661363633815199e-05
44,2.0,35,1,0,0,0,0,0,0,1,0.0011371987638995051
45,2.0,20,1,0,0,0,0,0,0,1,0.024757785722613335
46,40.0,70,0,0,0,1,0,0,0,1,0.0361592099070549
47,40.0,2,0,0,0,1,1,0,0,0,0.21539777517318726
48,70.0,140,0,0,0,1,0,1,0,0,0.015095049515366554
49,50.0,15,0,0,0,1,0,0,0,1,0.005013776943087578
50,40.0,310,0,0,0,1,0,1,0,0,0.010738440789282322
51,300.0,5,0,0,0,1,0,0,0,1,0.09238956868648529
52,10.0,30,0,0,1,0,0,0,0,1,0.00026120676193386316
53,2.0,5,1,0,0,0,0,0,0,1,0.0002500916307326406
54,40.0,60,0,0,0,1,0,0,0,1,0.0018038118723779917
55,0.11,15,0,1,0,0,0,0,0,1,0.045605678111314774
56,10.0,15,0,0,0,1,0,0,0,1,0.04087669402360916
57,0.3,60,0,1,0,0,0,0,0,1,0.00953729823231697
58,0.3,100,0,1,0,0,0,0,1,0,7.580500823678449e-05
59,2.0,140,1,0,0,0,0,1,0,0,0.0017807827098295093
60,10.0,2,0,0,1,0,1,0,0,0,0.037093181163072586
61,2.0,2,1,0,0,0,1,0,0,0,0.006311762612313032
62,2.0,1,1,0,0,0,0,0,1,0,0.0006470999796874821
63,2.0,4500,1,0,0,0,0,0,1,0,0.008512856438755989
64,2.0,60,1,0,0,0,0,0,0,1,0.005223727319389582
65,2.0,100,1,0,0,0,0,0,1,0,0.0001676771935308352
66,11.0,5,0,0,0,1,0,0,0,1,0.011309062130749226
67,10.0,1,0,0,1,0,0,0,1,0,0.9922615885734558
68,2.0,600,1,0,0,0,0,0,0,1,0.0005947102908976376
69,70.0,3,0,0,0,1,0,0,1,0,0.0643954873085022
70,11.0,4500,0,0,0,1,0,0,1,0,0.013754099607467651
71,2.0,15,1,0,0,0,0,0,0,1,0.002792033599689603
72,50.0,15,0,0,0,1,0,0,0,1,0.02551397867500782
73,11.0,2,0,0,0,1,1,0,0,0,0.12412390112876892
74,2.0,3,1,0,0,0,0,0,0,1,0.0002102740982081741
