,size_x,size_y,boolean_x,string_x,boolean_y,float_y,integer_y,string_y,outputscore
0,15.0,15,0,1,0,0,0,1,0.006489385850727558
1,15.0,100,0,1,0,0,1,0,0.0032069480512291193
2,15.0,100,0,1,0,0,1,0,0.0032055124174803495
3,15.0,15,0,1,0,0,0,1,0.007817823439836502
4,15.0,5,0,1,0,0,1,0,0.0014264520723372698
5,15.0,5,0,1,0,0,1,0,0.0014632736565545201
6,15.0,5,0,1,0,0,1,0,0.0017733197892084718
7,15.0,5,0,1,0,0,1,0,0.0018372228369116783
8,15.0,4500,0,1,0,0,1,0,0.0020251336973160505
9,15.0,4500,0,1,0,0,1,0,0.0020315805450081825
10,15.0,20,0,1,0,0,0,1,0.031109247356653214
11,15.0,1,0,1,0,0,1,0,0.0030571173410862684
12,15.0,1,0,1,0,0,1,0,0.003159415442496538
13,15.0,2,0,1,1,0,0,0,0.0025208881124854088
14,15.0,35,0,1,0,0,0,1,0.022062325850129128
15,15.0,15,0,1,0,0,0,1,0.10884226113557816
16,15.0,70,0,1,0,0,0,1,0.1343538910150528
17,15.0,2,0,1,0,0,0,1,0.09063167870044708
18,15.0,50,0,1,0,0,0,1,0.10295800119638443
19,15.0,5,0,1,0,0,0,1,0.14852848649024963
20,15.0,5,0,1,0,0,0,1,0.146040141582489
21,15.0,3,0,1,0,0,1,0,0.005130872596055269
22,15.0,3,0,1,0,0,1,0,0.005284322891384363
23,15.0,30,0,1,0,0,0,1,0.056982241570949554
24,15.0,15,0,1,0,0,0,1,0.18661849200725555
25,15.0,600,0,1,0,0,0,1,0.06365621834993362
26,15.0,4200000,0,1,0,0,1,0,0.0070151761174201965
27,15.0,15,0,1,0,0,0,1,0.20655854046344757
28,15.0,60,0,1,0,0,0,1,0.1323530226945877
29,15.0,5,0,1,0,0,0,1,0.26152560114860535
30,15.0,5,0,1,0,0,0,1,0.2568301260471344
31,15.0,1,0,1,0,0,1,0,0.0023691763635724783
32,15.0,1,0,1,0,0,1,0,0.002431243658065796
33,15.0,140,0,1,0,1,0,0,0.0017130546038970351
34,15.0,140,0,1,0,1,0,0,0.0017362026264891028
35,15.0,310,0,1,0,1,0,0,0.00216088630259037
36,15.0,310,0,1,0,1,0,0,0.002194387372583151
37,15.0,2,0,1,1,0,0,0,0.006972625385969877
38,15.0,11,0,1,0,0,0,1,0.026546180248260498
39,15.0,2,0,1,1,0,0,0,0.004004625603556633
40,15.0,3,0,1,0,0,0,1,0.0027030331548303366
41,15.0,3,0,1,0,0,0,1,0.002670403802767396
42,15.0,60,0,1,0,0,0,1,0.01567278429865837
43,15.0,15,0,1,0,0,0,1,0.006489385850727558
44,15.0,100,0,1,0,0,1,0,0.0032069480512291193
45,15.0,100,0,1,0,0,1,0,0.0032055124174803495
46,15.0,15,0,1,0,0,0,1,0.007817823439836502
47,15.0,30,0,1,0,0,0,1,0.007359127048403025
48,15.0,7,0,1,0,0,0,1,0.006699457298964262
49,2.0,15,1,0,0,0,0,1,0.00028443060000427067
50,2.0,100,1,0,0,0,1,0,0.00014037579239811748
51,2.0,100,1,0,0,0,1,0,0.00013978927745483816
52,2.0,15,1,0,0,0,0,1,0.0003115898580290377
53,2.0,5,1,0,0,0,1,0,0.0005497421370819211
54,2.0,5,1,0,0,0,1,0,0.000566068512853235
55,2.0,5,1,0,0,0,1,0,0.00046553468564525247
56,2.0,5,1,0,0,0,1,0,0.0004897259641438723
57,2.0,4500,1,0,0,0,1,0,0.02147827111184597
58,2.0,4500,1,0,0,0,1,0,0.021711047738790512
59,2.0,20,1,0,0,0,0,1,0.003125046147033572
60,2.0,1,1,0,0,0,1,0,0.0006146350642666221
61,2.0,1,1,0,0,0,1,0,0.0006352998898364604
62,2.0,2,1,0,1,0,0,0,0.013433934189379215
63,2.0,35,1,0,0,0,0,1,0.0037657141219824553
64,2.0,15,1,0,0,0,0,1,0.0029492133762687445
