,size_x,size_y,boolean_x,string_x,boolean_y,float_y,integer_y,string_y,outputscore
0,30.0,15,0,1,0,0,0,1,0.07073152810335159
1,30.0,100,0,1,0,0,1,0,0.05333024263381958
2,30.0,100,0,1,0,0,1,0,0.04978770390152931
3,30.0,15,0,1,0,0,0,1,0.06644684821367264
4,30.0,5,0,1,0,0,1,0,0.00017250444216188043
5,30.0,5,0,1,0,0,1,0,0.0001832987618399784
6,30.0,5,0,1,0,0,1,0,0.00020397664047777653
7,30.0,5,0,1,0,0,1,0,0.00021425656450446695
8,30.0,4500,0,1,0,0,1,0,0.011552691459655762
9,30.0,4500,0,1,0,0,1,0,0.011679929681122303
10,30.0,20,0,1,0,0,0,1,0.014668823219835758
11,30.0,1,0,1,0,0,1,0,0.0002827968564815819
12,30.0,1,0,1,0,0,1,0,0.00029456199263222516
13,30.0,2,0,1,1,0,0,0,0.011878067627549171
14,30.0,35,0,1,0,0,0,1,0.03144827485084534
15,30.0,15,0,1,0,0,0,1,0.018118657171726227
16,30.0,70,0,1,0,0,0,1,0.09637432545423508
17,30.0,2,0,1,0,0,0,1,0.039681583642959595
18,30.0,50,0,1,0,0,0,1,0.018424399197101593
19,30.0,5,0,1,0,0,0,1,0.08152666687965393
20,30.0,5,0,1,0,0,0,1,0.07696510851383209
21,30.0,3,0,1,0,0,1,0,0.004327921196818352
22,30.0,3,0,1,0,0,1,0,0.004685563966631889
23,30.0,30,0,1,0,0,0,1,0.0091854277998209
24,30.0,15,0,1,0,0,0,1,0.008107876405119896
25,30.0,600,0,1,0,0,0,1,0.015950843691825867
26,30.0,4200000,0,1,0,0,1,0,0.018842803314328194
27,30.0,15,0,1,0,0,0,1,0.017209583893418312
28,30.0,60,0,1,0,0,0,1,0.006026134826242924
29,30.0,5,0,1,0,0,0,1,0.02574532851576805
30,30.0,5,0,1,0,0,0,1,0.024480119347572327
31,30.0,1,0,1,0,0,1,0,0.00019335564866196364
32,30.0,1,0,1,0,0,1,0,0.00020492599287535995
33,30.0,140,0,1,0,1,0,0,0.009152287617325783
34,30.0,140,0,1,0,1,0,0,0.009334634989500046
35,30.0,310,0,1,0,1,0,0,0.007107271812856197
36,30.0,310,0,1,0,1,0,0,0.007358769420534372
37,30.0,2,0,1,1,0,0,0,0.003942600451409817
38,30.0,11,0,1,0,0,0,1,0.04477225989103317
39,30.0,2,0,1,1,0,0,0,0.009116362780332565
40,30.0,3,0,1,0,0,0,1,0.10784787684679031
41,30.0,3,0,1,0,0,0,1,0.10373590141534805
42,30.0,60,0,1,0,0,0,1,0.10579529404640198
43,30.0,15,0,1,0,0,0,1,0.07073152810335159
44,30.0,100,0,1,0,0,1,0,0.05333024263381958
45,30.0,100,0,1,0,0,1,0,0.04978770390152931
46,30.0,15,0,1,0,0,0,1,0.06644684821367264
47,30.0,30,0,1,0,0,0,1,0.1152087152004242
48,30.0,7,0,1,0,0,0,1,0.10241268575191498
49,2.0,15,1,0,0,0,0,1,0.00045632870751433074
50,2.0,100,1,0,0,0,1,0,0.0004835922154597938
51,2.0,100,1,0,0,0,1,0,0.0004326363850850612
