,size_x,size_y,boolean_x,float_x,integer_x,string_x,boolean_y,float_y,integer_y,string_y,outputscore
0,60.0,15,0,0,0,1,0,0,0,1,0.13732963800430298
1,60.0,100,0,0,0,1,0,0,1,0,0.11862149834632874
2,60.0,100,0,0,0,1,0,0,1,0,0.11021566390991211
3,60.0,15,0,0,0,1,0,0,0,1,0.131625697016716
4,60.0,5,0,0,0,1,0,0,1,0,0.00022170432202983648
5,60.0,5,0,0,0,1,0,0,1,0,0.0002373907045694068
6,60.0,5,0,0,0,1,0,0,1,0,0.00027765531558543444
7,60.0,5,0,0,0,1,0,0,1,0,0.0002945389423985034
8,60.0,4500,0,0,0,1,0,0,1,0,0.010913212783634663
9,60.0,4500,0,0,0,1,0,0,1,0,0.011231771670281887
10,60.0,20,0,0,0,1,0,0,0,1,0.006433059461414814
11,60.0,1,0,0,0,1,0,0,1,0,0.0003009627980645746
12,60.0,1,0,0,0,1,0,0,1,0,0.00031477841548621655
13,60.0,2,0,0,0,1,1,0,0,0,0.004634950775653124
14,60.0,35,0,0,0,1,0,0,0,1,0.018099457025527954
15,60.0,15,0,0,0,1,0,0,0,1,0.010332657024264336
16,60.0,70,0,0,0,1,0,0,0,1,0.03064783848822117
17,60.0,2,0,0,0,1,0,0,0,1,0.020034663379192352
18,60.0,50,0,0,0,1,0,0,0,1,0.009753460995852947
19,60.0,5,0,0,0,1,0,0,0,1,0.04058708995580673
20,60.0,5,0,0,0,1,0,0,0,1,0.03847362846136093
21,60.0,3,0,0,0,1,0,0,1,0,0.002050337614491582
22,60.0,3,0,0,0,1,0,0,1,0,0.0022064330987632275
23,60.0,30,0,0,0,1,0,0,0,1,0.004721289966255426
24,60.0,15,0,0,0,1,0,0,0,1,0.010878125205636024
25,60.0,600,0,0,0,1,0,0,0,1,0.022529296576976776
26,60.0,4200000,0,0,0,1,0,0,1,0,0.024452589452266693
27,60.0,15,0,0,0,1,0,0,0,1,0.021970821544528008
28,60.0,60,0,0,0,1,0,0,0,1,0.00884786993265152
29,60.0,5,0,0,0,1,0,0,0,1,0.04843183606863022
30,60.0,5,0,0,0,1,0,0,0,1,0.045584745705127716
31,60.0,1,0,0,0,1,0,0,1,0,0.0002793728490360081
32,60.0,1,0,0,0,1,0,0,1,0,0.0002980581484735012
33,60.0,140,0,0,0,1,0,1,0,0,0.006524356547743082
34,60.0,140,0,0,0,1,0,1,0,0,0.006701047066599131
35,60.0,310,0,0,0,1,0,1,0,0,0.005388044286519289
36,60.0,310,0,0,0,1,0,1,0,0,0.005600850563496351
37,60.0,2,0,0,0,1,1,0,0,0,0.002347244881093502
38,60.0,11,0,0,0,1,0,0,0,1,0.01735464110970497
39,60.0,2,0,0,0,1,1,0,0,0,0.0034868724178522825
40,60.0,3,0,0,0,1,0,0,0,1,0.38246098160743713
41,60.0,3,0,0,0,1,0,0,0,1,0.37180259823799133
42,60.0,60,0,0,0,1,0,0,0,1,0.3907296061515808
43,60.0,15,0,0,0,1,0,0,0,1,0.13732963800430298
44,60.0,100,0,0,0,1,0,0,1,0,0.11862149834632874
45,60.0,100,0,0,0,1,0,0,1,0,0.11021566390991211
46,60.0,15,0,0,0,1,0,0,0,1,0.131625697016716
47,60.0,30,0,0,0,1,0,0,0,1,0.21228528022766113
48,60.0,7,0,0,0,1,0,0,0,1,0.3162318468093872
49,2.0,15,1,0,0,0,0,0,0,1,0.0003688608412630856
50,2.0,100,1,0,0,0,0,0,1,0,0.00032932814792729914
51,2.0,100,1,0,0,0,0,0,1,0,0.00031197062344290316
52,2.0,15,1,0,0,0,0,0,0,1,0.0003074844426009804
53,2.0,5,1,0,0,0,0,0,1,0,0.0005984873860143125
54,2.0,5,1,0,0,0,0,0,1,0,0.0006247310666367412
55,2.0,5,1,0,0,0,0,0,1,0,0.0005369748687371612
56,2.0,5,1,0,0,0,0,0,1,0,0.0005655440618284047
57,2.0,4500,1,0,0,0,0,0,1,0,0.018640929833054543
58,2.0,4500,1,0,0,0,0,0,1,0,0.019056852906942368
59,2.0,20,1,0,0,0,0,0,0,1,0.027653859928250313
60,2.0,1,1,0,0,0,0,0,1,0,0.0007587437867186964
61,2.0,1,1,0,0,0,0,0,1,0,0.0007750010117888451
62,2.0,2,1,0,0,0,1,0,0,0,0.8175352215766907
63,2.0,35,1,0,0,0,0,0,0,1,0.026960348710417747
64,2.0,15,1,0,0,0,0,0,0,1,0.004951525013893843
65,2.0,70,1,0,0,0,0,0,0,1,0.008764846250414848
66,2.0,2,1,0,0,0,0,0,0,1,0.010354007594287395
67,2.0,50,1,0,0,0,0,0,0,1,0.005855773109942675
68,2.0,5,1,0,0,0,0,0,0,1,0.006752347107976675
69,2.0,5,1,0,0,0,0,0,0,1,0.006324191112071276
70,2.0,3,1,0,0,0,0,0,1,0,0.045016150921583176
71,2.0,3,1,0,0,0,0,0,1,0,0.04588079825043678
72,2.0,30,1,0,0,0,0,0,0,1,0.012538908049464226
73,2.0,15,1,0,0,0,0,0,0,1,0.002130933804437518
74,2.0,600,1,0,0,0,0,0,0,1,0.004942490719258785
75,2.0,4200000,1,0,0,0,0,0,1,0,0.007051047869026661
76,2.0,15,1,0,0,0,0,0,0,1,0.0033887268509715796
77,2.0,60,1,0,0,0,0,0,0,1,0.001696606632322073
78,2.0,5,1,0,0,0,0,0,0,1,0.002709091641008854
79,2.0,5,1,0,0,0,0,0,0,1,0.002622413681820035
80,2.0,1,1,0,0,0,0,0,1,0,0.000509492470882833
81,2.0,1,1,0,0,0,0,0,1,0,0.0005309180123731494
82,2.0,140,1,0,0,0,0,1,0,0,0.03001919947564602
83,2.0,140,1,0,0,0,0,1,0,0,0.029681596904993057
84,2.0,310,1,0,0,0,0,1,0,0,0.029088493436574936
85,2.0,310,1,0,0,0,0,1,0,0,0.029517972841858864
86,2.0,2,1,0,0,0,1,0,0,0,0.028361497446894646
87,2.0,11,1,0,0,0,0,0,0,1,0.07087081670761108
88,2.0,2,1,0,0,0,1,0,0,0,0.07410090416669846
89,2.0,3,1,0,0,0,0,0,0,1,0.0004261769645381719
90,2.0,3,1,0,0,0,0,0,0,1,0.0004148759471718222
91,2.0,60,1,0,0,0,0,0,0,1,0.0008143577142618597
92,2.0,15,1,0,0,0,0,0,0,1,0.0003688608412630856
93,2.0,100,1,0,0,0,0,0,1,0,0.00032932814792729914
94,2.0,100,1,0,0,0,0,0,1,0,0.00031197062344290316
95,2.0,15,1,0,0,0,0,0,0,1,0.0003074844426009804
96,2.0,30,1,0,0,0,0,0,0,1,0.00044182658893987536
97,2.0,7,1,0,0,0,0,0,0,1,0.0006551069673150778
98,2.0,15,1,0,0,0,0,0,0,1,0.00035452638985589147
99,2.0,100,1,0,0,0,0,0,1,0,0.00031977746402844787
100,2.0,100,1,0,0,0,0,0,1,0,0.0003018466813955456
101,2.0,15,1,0,0,0,0,0,0,1,0.0002956085663754493
