size1,size2,date_x,integer_x,string_x,time_x,date_y,integer_y,string_y,time_y,outputscore
3,4,0,0,1,0,1,0,0,0,0.19355478882789612
3,15,0,0,1,0,0,0,1,0,0.024199670180678368
3,12,0,0,1,0,0,0,1,0,0.03550773486495018
3,8,0,0,1,0,0,0,0,1,0.08460968732833862
7,3,0,0,1,0,0,0,1,0,0.011364665813744068
7,4,0,0,1,0,1,0,0,0,0.028406303375959396
7,15,0,0,1,0,0,0,1,0,0.17840513586997986
7,12,0,0,1,0,0,0,1,0,0.32999664545059204
7,8,0,0,1,0,0,0,0,1,0.20965707302093506
10,15,0,0,1,0,0,0,1,0,0.0019870044197887182
10,12,0,0,1,0,0,0,1,0,0.9054916501045227
10,8,0,0,1,0,0,0,0,1,0.21312998235225677
4,3,1,0,0,0,0,0,1,0,0.018685195595026016
4,4,1,0,0,0,1,0,0,0,0.5788065195083618
4,15,1,0,0,0,0,0,1,0,0.02559439092874527
4,8,1,0,0,0,0,0,0,1,0.1108919084072113
6,4,0,0,1,0,1,0,0,0,0.01601906679570675
6,12,0,0,1,0,0,0,1,0,0.03413298353552818
8,4,0,0,0,1,1,0,0,0,0.01874374784529209
8,12,0,0,0,1,0,0,1,0,0.1633940488100052
8,8,0,0,0,1,0,0,0,1,0.00995751190930605
20,3,0,0,1,0,0,0,1,0,0.4716441035270691
20,4,0,0,1,0,1,0,0,0,0.20265957713127136
20,12,0,0,1,0,0,0,1,0,0.06160999834537506
20,8,0,0,1,0,0,0,0,1,0.004026652313768864
15,3,0,0,1,0,0,0,1,0,0.06092056259512901
15,4,0,0,1,0,1,0,0,0,0.03135007992386818
15,12,0,0,1,0,0,0,1,0,0.14584891498088837
15,8,0,0,1,0,0,0,0,1,0.10401693731546402
4,3,0,0,1,0,0,0,1,0,0.779302716255188
4,4,0,0,1,0,1,0,0,0,0.011600816622376442
4,15,0,0,1,0,0,0,1,0,0.06288385391235352
4,12,0,0,1,0,0,0,1,0,0.106964111328125
4,8,0,0,1,0,0,0,0,1,0.0014085571747273207
4,3,0,0,1,0,0,0,1,0,0.3067578375339508
4,12,0,0,1,0,0,0,1,0,0.050938237458467484
4,8,0,0,1,0,0,0,0,1,0.006115053314715624
5,3,0,0,1,0,0,0,1,0,0.2579972445964813
5,4,0,0,1,0,1,0,0,0,0.2093852460384369
5,15,0,0,1,0,0,0,1,0,0.05263402312994003
5,12,0,0,1,0,0,0,1,0,0.01913088746368885
5,8,0,0,1,0,0,0,0,1,0.39014485478401184
5,3,0,0,1,0,0,0,1,0,0.0005335804889909923
5,4,0,0,1,0,1,0,0,0,0.8023104071617126
5,15,0,0,1,0,0,0,1,0,0.5558961033821106
5,12,0,0,1,0,0,0,1,0,0.16281884908676147
5,8,0,0,1,0,0,0,0,1,0.0010942764347419143
3,3,1,0,0,0,0,0,1,0,0.7647761702537537
3,4,1,0,0,0,1,0,0,0,0.008805022574961185
3,15,1,0,0,0,0,0,1,0,0.0023432171437889338
3,12,1,0,0,0,0,0,1,0,0.008713237941265106
3,8,1,0,0,0,0,0,0,1,0.004075371194630861
2,3,0,0,1,0,0,0,1,0,0.14909905195236206
2,4,0,0,1,0,1,0,0,0,0.019457565620541573
2,15,0,0,1,0,0,0,1,0,0.016447752714157104
40,15,0,0,1,0,0,0,1,0,0.12364965677261353
40,8,0,0,1,0,0,0,0,1,0.21405288577079773
3,15,0,1,0,0,0,0,1,0,0.0003882635501213372
3,12,0,1,0,0,0,0,1,0,0.4625872075557709
3,3,0,1,0,0,0,0,1,0,0.005265051499009132
3,4,0,1,0,0,1,0,0,0,0.015098926611244678
3,15,0,1,0,0,0,0,1,0,0.013841154985129833
3,12,0,1,0,0,0,0,1,0,0.808709442615509
3,8,0,1,0,0,0,0,0,1,0.151450976729393
41,3,0,1,0,0,0,0,1,0,0.33248618245124817
41,4,0,1,0,0,1,0,0,0,0.7293278574943542
41,15,0,1,0,0,0,0,1,0,0.01363531593233347
41,12,0,1,0,0,0,0,1,0,0.7861568331718445
41,8,0,1,0,0,0,0,0,1,0.6048459410667419
41,3,0,1,0,0,0,0,1,0,0.05158362165093422
41,12,0,1,0,0,0,0,1,0,0.02468040958046913
15,3,0,0,1,0,0,0,1,0,0.6338779926300049
15,4,0,0,1,0,1,0,0,0,0.0009626109385862947
15,15,0,0,1,0,0,0,1,0,0.006660489831119776
15,12,0,0,1,0,0,0,1,0,0.09006418287754059
15,8,0,0,1,0,0,0,0,1,0.22547461092472076
45,3,0,1,0,0,0,0,1,0,0.04158610478043556
45,4,0,1,0,0,1,0,0,0,0.0012247003614902496
45,15,0,1,0,0,0,0,1,0,0.099685437977314
45,12,0,1,0,0,0,0,1,0,0.05076726898550987
45,8,0,1,0,0,0,0,0,1,0.18530337512493134
45,3,0,1,0,0,0,0,1,0,0.02693195268511772
45,4,0,1,0,0,1,0,0,0,0.06624771654605865
45,15,0,1,0,0,0,0,1,0,0.03060774691402912
45,8,0,1,0,0,0,0,0,1,0.29336634278297424
3,4,0,0,1,0,1,0,0,0,0.3083646595478058
3,15,0,0,1,0,0,0,1,0,0.03236347436904907
3,12,0,0,1,0,0,0,1,0,0.11455816775560379
3,8,0,0,1,0,0,0,0,1,0.08967569470405579
3,3,0,0,1,0,0,0,1,0,0.059667572379112244
3,4,0,0,1,0,1,0,0,0,0.881840169429779
3,15,0,0,1,0,0,0,1,0,0.015034803189337254
3,12,0,0,1,0,0,0,1,0,0.7620434761047363
3,8,0,0,1,0,0,0,0,1,0.008434808813035488
1,3,0,0,1,0,0,0,1,0,0.0008724706713110209
1,4,0,0,1,0,1,0,0,0,0.14894281327724457
1,15,0,0,1,0,0,0,1,0,0.03385668247938156
1,12,0,0,1,0,0,0,1,0,0.763019859790802
8,4,0,0,0,1,1,0,0,0,0.6713504195213318
8,15,0,0,0,1,0,0,1,0,0.2418205738067627
8,12,0,0,0,1,0,0,1,0,0.015629030764102936
8,8,0,0,0,1,0,0,0,1,0.009368502534925938
20,15,0,0,1,0,0,0,1,0,0.004092798102647066
20,12,0,0,1,0,0,0,1,0,0.10970237106084824
20,8,0,0,1,0,0,0,0,1,0.0034674182534217834
