,size1,size2,integer_x,string_x,time_x,date_y,integer_y,string_y,time_y,outputscore
0,52,5,1,0,0,0,0,1,0,0.49537545442581177
1,52,60,1,0,0,0,0,1,0,0.46793749928474426
2,52,8,1,0,0,0,0,0,1,0.47455698251724243
3,52,15,1,0,0,0,0,1,0,0.4225834012031555
4,52,8,1,0,0,0,0,1,0,0.46354156732559204
5,70,8,0,1,0,0,0,1,0,0.508022129535675
6,70,25,0,1,0,0,0,1,0,0.5151380896568298
7,70,40,0,1,0,0,0,1,0,0.4398114085197449
8,70,15,0,1,0,0,0,1,0,0.4506271481513977
9,70,2,0,1,0,0,1,0,0,0.5111871957778931
10,70,60,0,1,0,0,0,1,0,0.5297123789787292
11,30,15,0,1,0,0,0,1,0,0.3941822350025177
12,30,4,0,1,0,0,0,1,0,0.3719104528427124
13,30,4,0,1,0,0,0,1,0,0.34776315093040466
14,30,5,0,1,0,0,0,1,0,0.3839143216609955
15,30,5,0,1,0,0,0,1,0,0.36190274357795715
16,30,3,0,1,0,1,0,0,0,0.3928534686565399
17,30,2,0,1,0,0,0,1,0,0.39282190799713135
18,30,40,0,1,0,0,0,1,0,0.39052996039390564
19,30,3,0,1,0,0,1,0,0,0.385804146528244
20,30,3,0,1,0,0,1,0,0,0.3593141734600067
21,30,41,0,1,0,0,1,0,0,0.39182841777801514
22,30,41,0,1,0,0,1,0,0,0.3646475374698639
23,30,15,0,1,0,0,0,1,0,0.37404748797416687
24,30,45,0,1,0,0,1,0,0,0.3867269456386566
25,30,45,0,1,0,0,1,0,0,0.3621600866317749
26,30,3,0,1,0,0,0,1,0,0.37997186183929443
27,30,3,0,1,0,0,0,1,0,0.39017441868782043
28,30,1,0,1,0,0,0,1,0,0.38754740357398987
29,30,8,0,1,0,0,0,0,1,0.3927095830440521
30,30,20,0,1,0,0,0,1,0,0.41797688603401184
31,30,6,0,1,0,0,0,1,0,0.4123276174068451
32,30,60,0,1,0,0,1,0,0,0.4085017740726471
33,30,4,0,1,0,0,1,0,0,0.44577738642692566
34,30,3,0,1,0,1,0,0,0,0.44970250129699707
35,30,20,0,1,0,0,0,1,0,0.4094974398612976
36,30,5,0,1,0,0,0,1,0,0.4381489157676697
37,30,5,0,1,0,0,0,1,0,0.4030636250972748
38,30,7,0,1,0,0,0,1,0,0.4435766339302063
39,30,3,0,1,0,0,0,1,0,0.44230157136917114
40,30,8,0,1,0,0,0,0,1,0.4485437273979187
41,30,3,0,1,0,0,0,1,0,0.4389134347438812
42,30,20,0,1,0,0,0,1,0,0.4796839654445648
43,60,3,0,1,0,0,0,1,0,0.42551881074905396
44,60,4,0,1,0,0,0,1,0,0.41686514019966125
45,60,4,0,1,0,0,1,0,0,0.45256733894348145
46,60,4000,0,1,0,0,0,1,0,0.4521596133708954
47,60,2,0,1,0,0,1,0,0,0.45170217752456665
48,60,50,0,1,0,0,0,1,0,0.4618012011051178
49,60,150,0,1,0,0,0,1,0,0.44780072569847107
50,60,8,0,1,0,0,0,1,0,0.44398361444473267
51,60,300,0,1,0,0,0,1,0,0.47865819931030273
52,60,150,0,1,0,0,0,1,0,0.46907833218574524
53,60,40,0,1,0,0,0,1,0,0.514137327671051
54,8,3,0,1,0,0,0,1,0,0.4207422137260437
55,8,7,0,1,0,0,0,1,0,0.339080274105072
56,8,10,0,1,0,0,0,1,0,0.36813458800315857
57,8,4,0,1,0,1,0,0,0,0.3951963484287262
58,8,6,0,1,0,0,0,1,0,0.392001211643219
59,8,8,0,1,0,0,0,0,1,0.39860889315605164
60,8,20,0,1,0,0,0,1,0,0.4175548255443573
61,4000,8,0,1,0,0,0,1,0,0.4284808039665222
62,4000,300,0,1,0,0,0,1,0,0.46428215503692627
63,4000,150,0,1,0,0,0,1,0,0.44584229588508606
64,4000,40,0,1,0,0,0,1,0,0.49497461318969727
65,5,15,0,1,0,0,0,1,0,0.38758811354637146
66,5,4,0,1,0,0,0,1,0,0.3639589548110962
67,5,4,0,1,0,0,0,1,0,0.34171199798583984
68,5,5,0,1,0,0,0,1,0,0.37738651037216187
69,5,5,0,1,0,0,0,1,0,0.3576987385749817
70,5,3,0,1,0,1,0,0,0,0.3838467299938202
71,5,2,0,1,0,0,0,1,0,0.3849239647388458
72,5,40,0,1,0,0,0,1,0,0.38468456268310547
73,5,3,0,1,0,0,1,0,0,0.37964293360710144
74,5,3,0,1,0,0,1,0,0,0.3537440001964569
75,5,41,0,1,0,0,1,0,0,0.3833124041557312
76,5,41,0,1,0,0,1,0,0,0.3585454821586609
77,5,15,0,1,0,0,0,1,0,0.36954015493392944
78,5,45,0,1,0,0,1,0,0,0.3810012936592102
79,5,45,0,1,0,0,1,0,0,0.3577249348163605
80,5,3,0,1,0,0,0,1,0,0.37382134795188904
81,5,3,0,1,0,0,0,1,0,0.38283318281173706
82,5,1,0,1,0,0,0,1,0,0.3824996054172516
83,5,8,0,1,0,0,0,0,1,0.3846558630466461
84,5,20,0,1,0,0,0,1,0,0.4091460406780243
85,5,6,0,1,0,0,0,1,0,0.40533211827278137
86,5,60,0,1,0,0,1,0,0,0.40094855427742004
87,5,4,0,1,0,0,1,0,0,0.43818187713623047
88,5,3,0,1,0,1,0,0,0,0.4402124881744385
89,5,20,0,1,0,0,0,1,0,0.40422600507736206
90,5,5,0,1,0,0,0,1,0,0.43083229660987854
91,5,5,0,1,0,0,0,1,0,0.3992271423339844
92,5,7,0,1,0,0,0,1,0,0.4325425326824188
93,5,3,0,1,0,0,0,1,0,0.433910995721817
94,5,8,0,1,0,0,0,0,1,0.4384276270866394
95,5,3,0,1,0,0,0,1,0,0.4322440028190613
96,5,20,0,1,0,0,0,1,0,0.4671977162361145
97,8,3,0,0,1,0,0,1,0,0.42551058530807495
98,8,4,0,0,1,0,0,1,0,0.4148065745830536
99,8,4,0,0,1,0,1,0,0,0.4511769711971283
100,8,4000,0,0,1,0,0,1,0,0.4533309042453766
101,8,2,0,0,1,0,1,0,0,0.4491856098175049
102,8,50,0,0,1,0,0,1,0,0.4564603269100189
103,8,150,0,0,1,0,0,1,0,0.4511622190475464
104,8,8,0,0,1,0,0,1,0,0.4457644820213318
105,8,300,0,0,1,0,0,1,0,0.4814777076244354
106,8,150,0,0,1,0,0,1,0,0.46969249844551086
107,8,40,0,0,1,0,0,1,0,0.5115314722061157
108,4,3,0,1,0,0,0,1,0,0.388406366109848
109,4,4,0,1,0,1,0,0,0,0.4757235646247864
110,4,15,0,1,0,0,0,1,0,0.41870224475860596
111,4,12,0,1,0,0,0,1,0,0.46517306566238403
112,4,8,0,1,0,0,0,0,1,0.47054922580718994
113,15,3,0,1,0,0,0,1,0,0.40500080585479736
114,15,4,0,1,0,1,0,0,0,0.5107752084732056
115,15,15,0,1,0,0,0,1,0,0.44336998462677
